from/to,bid,ask,max_bid,min_bid,time
EUR/USD,"1.07","1,05","1,1","1,03",2025-02-20 10:10:58
from/to,bid,ask,min_bid,max_bid,time
EUR/USD,1.0434,1.0435,1.0419,1.0442,	2025-02-20 10:10:58
USD/JPY,150.30,150.32,149.95,151.47,	2025-02-20 10:10:58
GBP/USD,1.2610,1.2612,1.2579,1.2615,	2025-02-20 10:10:58
USD/TRY,36.3115,36.3295,36.2988,36.3287,	2025-02-20 10:10:58
USD/CHF,0.9023,0.9025,0.9021,0.9047,	2025-02-20 10:10:58
USD/CAD,1.4217,1.4218,1.4212,1.4245,	2025-02-20 10:10:58
EUR/JPY,156.83,156.84,156.33,157.89,	2025-02-20 10:10:58
AUD/USD,0.6373,0.6375,0.6328,0.6380,	2025-02-20 10:10:58
NZD/USD,0.5728,0.5731,0.5694,0.5731,	2025-02-20 10:10:58
EUR/GBP,0.8273,0.8275,0.8272,0.8287,	2025-02-20 10:10:58
from/to,bid,ask,min_bid,max_bid,time
EUR/USD,1.0450,1.0452,1.0450,1.0505,	2025-02-21 19:43:55
USD/JPY,149.47,149.48,149.29,150.74,	2025-02-21 19:43:55
GBP/USD,1.2642,1.2643,1.2630,1.2679,	2025-02-21 19:43:55
USD/TRY,36.5062,36.5659,36.2860,36.5443,	2025-02-21 19:43:55
USD/CHF,0.8994,0.8996,0.8971,0.9005,	2025-02-21 19:43:55
USD/CAD,1.4206,1.4208,1.4169,1.4209,	2025-02-21 19:43:55
EUR/JPY,156.22,156.23,156.19,158.23,	2025-02-21 19:43:55
AUD/USD,0.6373,0.6375,0.6371,0.6409,	2025-02-21 19:43:55
NZD/USD,0.5748,0.5751,0.5747,0.5773,	2025-02-21 19:43:55
EUR/GBP,0.8266,0.8268,0.8266,0.8292,	2025-02-21 19:43:55
EUR/CHF,0.9400,0.9401,0.9400,0.9447,	2025-02-21 19:43:55
AUD/JPY,95.27,95.29,95.26,96.50,	2025-02-21 19:43:55
GBP/JPY,188.96,188.98,188.90,190.95,	2025-02-21 19:43:55
CHF/JPY,166.18,166.21,166.16,167.76,	2025-02-21 19:43:55
EUR/CAD,1.4846,1.4848,1.4844,1.4897,	2025-02-21 19:43:55
AUD/CAD,0.9054,0.9057,0.9049,0.9081,	2025-02-21 19:43:55
CAD/JPY,105.21,105.23,105.20,106.34,	2025-02-21 19:43:55
NZD/JPY,85.93,85.95,85.92,86.90,	2025-02-21 19:43:55
AUD/NZD,1.1084,1.1088,1.1082,1.1111,	2025-02-21 19:43:55
GBP/AUD,1.9832,1.9835,1.9774,1.9843,	2025-02-21 19:43:55
EUR/AUD,1.6394,1.6397,1.6380,1.6433,	2025-02-21 19:43:55
GBP/CHF,1.1370,1.1373,1.1354,1.1395,	2025-02-21 19:43:55
EUR/NZD,1.8176,1.8180,1.8173,1.8232,	2025-02-21 19:43:55
AUD/CHF,0.5732,0.5735,0.5729,0.5757,	2025-02-21 19:43:55
GBP/NZD,2.1985,2.1990,2.1952,2.2013,	2025-02-21 19:43:55
USD/INR,86.494,86.607,86.413,86.775,	2025-02-21 19:43:55
USD/CNY,7.2555,7.2565,7.2560,7.2560,	2025-02-21 19:43:55
USD/SGD,1.3366,1.3370,1.3327,1.3378,	2025-02-21 19:43:55
USD/HKD,7.7681,7.7711,7.7687,7.7770,	2025-02-21 19:43:55
